Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Nonresidential private fixed investment in structures,Change in private inventories,Exports of goods and services,National defense: Consumption expenditures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national defense: Gross investment in structures,Nondefense: Consumption expenditures,Federal nondefense: Gross investment in equipment,Federal nondefense: Gross investment in intellectual property products,Federal nondefense: Gross investment in structures,State and local government consumption expenditures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,State and local: Gross investment in structures,Total use of products
Farms,149222,183,---,45,21,---,3837,---,---,---,---,---,---,---,---,---,---,193,361317,1976,---,---,---,---,23008,---,1167,511,1406,306,270,---,---,---,---,---,---,39,---,---,---,---,---,0,---,---,---,0,2,---,1,0,2552,61,1745,---,261,---,---,---,---,---,491,87,8378,13,14,-64,---,5376,---,562419,243988,---,---,---,---,-3583,73077,---,---,---,---,---,---,---,---,---,---,---,---,875901
"Forestry, fishing, and related activities",27934,9440,---,145,---,---,---,22506,1,---,---,---,---,---,---,---,103,319,8496,---,109,4800,34,---,385,2194,---,---,654,---,0,---,---,---,---,---,---,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,447,30,4,---,63,---,---,---,---,---,404,438,7764,112,---,49,17,6633,---,93080,12766,---,---,---,---,2532,6804,---,---,---,---,---,---,---,---,---,---,---,---,115182
Oil and gas extraction,---,---,30944,11,83,29608,---,25,5,10,6,---,---,---,2,---,---,---,21,---,---,11,4,428427,8412,21,73,50,11,15,130,---,---,---,---,---,40,---,493,380,28,38,204,---,---,---,---,---,205,---,---,4,78,22,16,63,1291,42,8,18,38,17,232,31,19,161,---,0,1233,---,19984,522515,---,---,---,---,---,3732,149708,---,---,---,---,---,---,---,---,---,---,---,---,675955
"Mining, except oil and gas",1835,0,122,10397,159,9288,32790,10,16247,21470,568,113,6,109,95,171,15,135,1629,38,---,1516,---,3771,7135,141,31,---,---,---,4,---,134,0,9,0,---,1,2,16,17,267,1713,---,---,---,---,11,---,---,---,---,2266,47,1261,71,655,---,27,42,475,474,951,168,1320,1639,---,4925,---,3124,8310,135719,342,159,---,---,---,1427,28126,---,---,---,---,---,---,---,---,---,---,---,---,165773
Support activities for mining,---,---,21084,2085,1583,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,59,5,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,24816,---,3063,---,---,103546,18,1912,---,---,---,---,---,---,---,---,---,---,---,---,133355
Utilities,10527,68,11093,3719,312,35503,14401,2125,4374,6671,4610,2416,1510,907,3307,5679,680,877,11811,799,107,5831,1230,5862,14484,5189,18886,7135,10950,9567,22658,1084,81,186,6235,664,2001,1475,2693,975,478,7836,7628,4615,1911,789,2774,372,41357,2390,654,1293,6847,5962,4147,2414,6947,5109,9435,4084,2187,1488,4279,6496,27010,10024,5015,1353,3982,39334,5160,462054,355771,---,---,---,---,---,5039,---,---,---,---,---,---,---,---,---,---,---,---,822864
Construction,2066,31,276,3178,1288,5669,525,532,1205,1684,1582,989,579,236,1005,866,175,401,3239,126,21,1232,371,7887,2476,1060,5837,2527,1376,2842,6011,334,2949,50,857,631,1333,1425,1012,152,104,3204,1944,7749,2557,1305,126,66434,58335,1842,182,126,3145,1092,1240,252,2194,1028,2070,913,1189,394,1004,3431,4660,5848,13311,1170,923,51680,76352,381840,---,---,---,902828,736195,---,123,---,---,---,14716,---,---,---,19263,---,---,---,413374,2468340
Wood products,781,84,---,515,238,9,104687,42258,295,677,285,1073,537,1178,4527,317,9114,1794,507,71,1,5925,2,---,334,2650,11483,340,997,272,2159,---,4796,---,327,---,5,80,153,47,110,1077,2140,396,10,---,---,49,10271,1254,17,46,1274,7,1377,44,68,771,838,7,1272,16,397,1741,1697,634,21,112,3,5173,464,229805,9528,---,---,16266,111,-96,6132,---,---,---,---,---,19,---,---,---,---,---,---,261765
Nonmetallic mineral products,29,119,2925,663,701,51,146888,1129,23402,3815,1749,1972,379,2374,10431,484,349,1015,3628,42,---,537,1,1676,1843,2640,132,410,56,449,1144,---,19,---,191,0,0,12,83,2,1,3132,1068,24,40,68,---,186,66,1476,0,245,7172,44,1140,396,106,3260,4115,175,971,17,213,137,3743,2391,66,954,---,3061,4800,250408,29605,---,---,---,---,-518,11909,---,---,---,---,---,---,---,---,---,---,---,---,291403
Primary metals,104,---,13472,734,234,4,10350,408,2420,107860,105589,55078,5739,23910,68120,11337,4753,7709,2423,133,---,1379,32,11,47,2549,1147,11,---,0,722,---,934,---,---,---,---,143,---,11,9,464,1380,---,---,---,---,2,3955,206,---,0,2386,56,922,373,363,221,49,20,551,51,580,43,252,1232,347,1381,---,145,1142,443499,3059,---,---,---,---,275,39236,---,---,---,---,---,---,---,---,---,---,---,---,486069
