,country
0,Afghanistan
1,Albania
2,Algeria
3,Andorra
4,Angola
5,Antigua and Barbuda
6,Argentina
7,Armenia
8,Australia
9,Austria
10,Azerbaijan
11,Bahamas
12,Bahrain
13,Bangladesh
14,Barbados
15,Belarus
16,Belgium
17,Belize
18,Benin
19,Bhutan
20,Bolivia
21,Bosnia and Herzegovina
22,Botswana
23,Brazil
24,Brunei
25,Bulgaria
26,Burkina Faso
27,Burundi
28,Cambodia
29,Cameroon
30,Canada
31,Cape Verde
32,Central African Republic
33,Chad
34,Chile
35,China
36,Colombia
37,Comoros
38,"Congo, Dem. Rep."
39,"Congo, Rep."
40,Costa Rica
41,Cote d'Ivoire
42,Croatia
43,Cuba
44,Cyprus
45,Czech Republic
46,Denmark
47,Djibouti
48,Dominica
49,Dominican Republic
50,Ecuador
51,Egypt
52,El Salvador
53,Equatorial Guinea
54,Eritrea
55,Estonia
56,Eswatini
57,Ethiopia
58,Fiji
59,Finland
60,France
61,Gabon
62,Gambia
63,Georgia
64,Germany
65,Ghana
66,Greece
67,Grenada
68,Guatemala
69,Guinea
70,Guinea-Bissau
71,Guyana
72,Haiti
73,Holy See
74,Honduras
75,"Hong Kong, China"
76,Hungary
77,Iceland
78,India
79,Indonesia
80,Iran
81,Iraq
82,Ireland
83,Israel
84,Italy
85,Jamaica
86,Japan
87,Jordan
88,Kazakhstan
89,Kenya
90,Kiribati
91,Kuwait
92,Kyrgyz Republic
93,Lao
94,Latvia
95,Lebanon
96,Lesotho
97,Liberia
98,Libya
99,Liechtenstein
100,Lithuania
101,Luxembourg
102,Madagascar
103,Malawi
104,Malaysia
105,Maldives
106,Mali
107,Malta
108,Marshall Islands
109,Mauritania
110,Mauritius
111,Mexico
112,"Micronesia, Fed. Sts."
113,Moldova
114,Monaco
115,Mongolia
116,Montenegro
117,Morocco
118,Mozambique
119,Myanmar
120,Namibia
121,Nauru
122,Nepal
123,Netherlands
124,New Zealand
125,Nicaragua
126,Niger
127,Nigeria
128,North Korea
129,North Macedonia
130,Norway
131,Oman
132,Pakistan
133,Palau
134,Palestine
135,Panama
136,Papua New Guinea
137,Paraguay
138,Peru
139,Philippines
140,Poland
141,Portugal
142,Qatar
143,Romania
144,Russia
145,Rwanda
146,Samoa
147,San Marino
148,Sao Tome and Principe
149,Saudi Arabia
150,Senegal
151,Serbia
152,Seychelles
153,Sierra Leone
154,Singapore
155,Slovak Republic
156,Slovenia
157,Solomon Islands
158,Somalia
159,South Africa
160,South Korea
161,South Sudan
162,Spain
163,Sri Lanka
164,St. Kitts and Nevis
165,St. Lucia
166,St. Vincent and the Grenadines
167,Sudan
168,Suriname
169,Sweden
170,Switzerland
171,Syria
172,Taiwan
173,Tajikistan
174,Tanzania
175,Thailand
176,Timor-Leste
177,Togo
178,Tonga
179,Trinidad and Tobago
180,Tunisia
181,Turkey
182,Turkmenistan
183,Tuvalu
184,UAE
185,UK
186,USA
187,Uganda
188,Ukraine
189,Uruguay
190,Uzbekistan
191,Vanuatu
192,Venezuela
193,Vietnam
194,Yemen
195,Zambia
196,Zimbabwe
